userName,score,at,content
Pengguna Google,1,2026-06-22 00:41:53,"ini line gamau perbaikin sistem loginnya nih? banyak user kehilangan akunnya loh perkara pas reinstall gak bisa masuk pake email dan password, secara jelas2 kita inget semuanya gmail akun line dan password bahkan nomor hpnya. Bukan apa-apa ya,yang udah lama pake line nih didalemnya tuh suka nyimpen data, kerjaan, foto dan bahkan akun game line!! Tapi semua dibuat sulit gabisa login, bahkan mau kirim inquiry atau login lewat web pun diarahkannya ke aplikasi lagi. tolong perhatikan ulasan pengguna"
Pengguna Google,1,2026-06-21 18:57:24,Masih belum bisa relog pakai no telpon. Ayok dong pihak line indo jgn nyerah upayakan ke pemerintah biar aturannya dilonggarkan. Masa apk bodong aja bisa relog by no. tlp sedangkan line platform besar gak bisa.
Pengguna Google,1,2026-06-21 18:04:27,"""Saya kecewa dengan sistem pemulihan akun LINE. Seharusnya nomor telepon yang masih aktif bisa membantu memulihkan akun dengan lebih mudah."
Pengguna Google,5,2026-06-21 15:55:52,"line please come back to indonesia, butuh bgt sm data lama. blm lg id game2 line sm sticker dah byk beli, kemrn2 di uninstal karena kebykan tmn make whatsapp tp makin kesini nyesel pake whatsapp karena ga privasy bgt nomor telp kek pintu rmh yg sell kebuka byk bet nomor tdk di kenal tiba2 chat judol ato nawarin sesuatu. jd line please come back ya"
Pengguna Google,1,2026-06-21 15:11:27,"This app has been experiencing errors for a long time. The News section always shows ""Temporary error, please try again later,"" and I am unable to add friends. I have tried force stopping the app, clearing the cache, restarting my phone, and changing my internet connection, but the issue remains. I also cannot log in to my old account even though it is linked to my email. Please fix these problems as soon as possible because the app is becoming unusable."
Pengguna Google,1,2026-06-21 13:59:12,"aplikasi jelek, mau login akun lama dipersulit. ga sama kayak dulu. padahal butuh banget history chat sama grub nya karena ada memories disitu. masa gua terpaksa ngerelain akun dan memories yg belum tersimpan di akun line gua?. ini lama² pengguna Lo hilang kalau kayak gini. jujur gua kecewa sih. pake kode otp aja udah cukup untuk login kok, malah ribet."
Pengguna Google,5,2026-06-21 13:57:04,saran saya kembalikan pencarian grup chat
Pengguna Google,1,2026-06-21 13:47:35,"apk jelek ga bisa login di akun lama, padahal akun lama tertaut di game. mau login aja ribet ga bisa pake nomer hp di negara Indonesia, masa iya harus pindah negara dulu ah elah uninstall lg aja dah ga guna"
Pengguna Google,5,2026-06-21 12:58:58,bagus untuk menambah pertemanan
Pengguna Google,1,2026-06-21 10:19:22,"tiba² line tidak update bbrp hari. langkah yg sy lakukan, uninstall, begitu install ulang, tidak bisa login lagi, sdh pake cara yg diarahkan Line: lewat akun google/Apple, gak berhasil pdhl semua isian sdh benar. masak harus bikin akun baru? gimana dg isi dr akun lama? bisa² disalahgunakan pihak lain kalo ada yg bisa hack 🤯"
Pengguna Google,4,2026-06-21 09:20:25,good
Pengguna Google,1,2026-06-21 07:11:55,"sayang sekali mau login tapi sudah tidak bisa pakai nomor telepon, pake email pun harus verifikasi akun padahal gak ada akun line di device lain. makin aneh aplikasinya"
Pengguna Google,5,2026-06-21 05:14:00,sangat puas
Pengguna Google,5,2026-06-21 02:24:34,good
Pengguna Google,1,2026-06-20 18:16:22,"tolong perbaiki lagi yaa, saya tidak bisa login lagi pakai nomor telepon. data saya gimana ini. banyak pekerjaan saya disituu🙏🙏🙏🙏 tolong banget yaaa"
Pengguna Google,1,2026-06-20 18:13:43,"WOY INI GIMANA SAYA MAU LOGIN PAKE NOMOR HAPE SUDAH GA BISA?!!! TERUS EMAIL YG UDAH DI DAFTARIN TIBA2 TULISANNYA TIDAK ""EMAIL BELUM DI TAUTKAN"" SANGAT KECEWA SEKALI !"
Pengguna Google,1,2026-06-20 17:05:43,"udah tau device yang lama hilang, disuruh verifikasi pakai device lama kan tolol, kalau masih ada device yang lama ngapain gua login di device baru aneh, infomasi nya usefull banget."
Pengguna Google,4,2026-06-20 14:31:56,Susah
Pengguna Google,3,2026-06-20 11:30:34,nggak bisa login error
Pengguna Google,5,2026-06-20 10:20:06,mengobrol dengan temen
Pengguna Google,5,2026-06-20 09:03:25,keren
Pengguna Google,5,2026-06-20 02:39:07,ok
Pengguna Google,5,2026-06-20 01:16:36,baik
Pengguna Google,1,2026-06-20 00:46:14,"tidak bisa login dengan nomer telepon, bagaimana saya mau transfer data,akun utama pake nomer telepon,sangat rugi harus bikin akun baru lagi dengan Gmail!!!!!!"
Pengguna Google,4,2026-06-19 23:09:18,good
Pengguna Google,2,2026-06-19 21:29:14,"mending LINE khusus tlf sama chat aja, nggak usah ada news dll biar aplikasi nggak berat"
Pengguna Google,1,2026-06-19 20:03:56,login pakai no hp gak bisa lagi tolong jangan mempersulit hidup kami
Pengguna Google,5,2026-06-19 19:13:14,line error tidak bisa login
