content,sentiment
"ini line gamau perbaikin sistem loginnya nih? banyak user kehilangan akunnya loh perkara pas reinstall gak bisa masuk pake email dan password, secara jelas2 kita inget semuanya gmail akun line dan password bahkan nomor hpnya. Bukan apa-apa ya,yang udah lama pake line nih didalemnya tuh suka nyimpen data, kerjaan, foto dan bahkan akun game line!! Tapi semua dibuat sulit gabisa login, bahkan mau kirim inquiry atau login lewat web pun diarahkannya ke aplikasi lagi. tolong perhatikan ulasan pengguna",0
Masih belum bisa relog pakai no telpon. Ayok dong pihak line indo jgn nyerah upayakan ke pemerintah biar aturannya dilonggarkan. Masa apk bodong aja bisa relog by no. tlp sedangkan line platform besar gak bisa.,0
"""Saya kecewa dengan sistem pemulihan akun LINE. Seharusnya nomor telepon yang masih aktif bisa membantu memulihkan akun dengan lebih mudah.",0
"line please come back to indonesia, butuh bgt sm data lama. blm lg id game2 line sm sticker dah byk beli, kemrn2 di uninstal karena kebykan tmn make whatsapp tp makin kesini nyesel pake whatsapp karena ga privasy bgt nomor telp kek pintu rmh yg sell kebuka byk bet nomor tdk di kenal tiba2 chat judol ato nawarin sesuatu. jd line please come back ya",1
"This app has been experiencing errors for a long time. The News section always shows ""Temporary error, please try again later,"" and I am unable to add friends. I have tried force stopping the app, clearing the cache, restarting my phone, and changing my internet connection, but the issue remains. I also cannot log in to my old account even though it is linked to my email. Please fix these problems as soon as possible because the app is becoming unusable.",0
"aplikasi jelek, mau login akun lama dipersulit. ga sama kayak dulu. padahal butuh banget history chat sama grub nya karena ada memories disitu. masa gua terpaksa ngerelain akun dan memories yg belum tersimpan di akun line gua?. ini lama² pengguna Lo hilang kalau kayak gini. jujur gua kecewa sih. pake kode otp aja udah cukup untuk login kok, malah ribet.",0
saran saya kembalikan pencarian grup chat,1
"apk jelek ga bisa login di akun lama, padahal akun lama tertaut di game. mau login aja ribet ga bisa pake nomer hp di negara Indonesia, masa iya harus pindah negara dulu ah elah uninstall lg aja dah ga guna",0
bagus untuk menambah pertemanan,1
"tiba² line tidak update bbrp hari. langkah yg sy lakukan, uninstall, begitu install ulang, tidak bisa login lagi, sdh pake cara yg diarahkan Line: lewat akun google/Apple, gak berhasil pdhl semua isian sdh benar. masak harus bikin akun baru? gimana dg isi dr akun lama? bisa² disalahgunakan pihak lain kalo ada yg bisa hack 🤯",0
good,1
"sayang sekali mau login tapi sudah tidak bisa pakai nomor telepon, pake email pun harus verifikasi akun padahal gak ada akun line di device lain. makin aneh aplikasinya",0
sangat puas,1
good,1
"tolong perbaiki lagi yaa, saya tidak bisa login lagi pakai nomor telepon. data saya gimana ini. banyak pekerjaan saya disituu🙏🙏🙏🙏 tolong banget yaaa",0
"WOY INI GIMANA SAYA MAU LOGIN PAKE NOMOR HAPE SUDAH GA BISA?!!! TERUS EMAIL YG UDAH DI DAFTARIN TIBA2 TULISANNYA TIDAK ""EMAIL BELUM DI TAUTKAN"" SANGAT KECEWA SEKALI !",0
"udah tau device yang lama hilang, disuruh verifikasi pakai device lama kan tolol, kalau masih ada device yang lama ngapain gua login di device baru aneh, infomasi nya usefull banget.",0
Susah,1
nggak bisa login error,1
mengobrol dengan temen,1
keren,1
ok,1
baik,1
"tidak bisa login dengan nomer telepon, bagaimana saya mau transfer data,akun utama pake nomer telepon,sangat rugi harus bikin akun baru lagi dengan Gmail!!!!!!",0
good,1
"mending LINE khusus tlf sama chat aja, nggak usah ada news dll biar aplikasi nggak berat",0
login pakai no hp gak bisa lagi tolong jangan mempersulit hidup kami,0
line error tidak bisa login,1
"akun lama tiba"" hilang , mau daftar udah gak bisa karna nomer juga udah gak ada kebetulan dulu pas lago kerja di taiwan dan sekarang sudah pulang, giliran mau daftar baru juga gak bisa , tulisannya nomer telpon gk bisa ditambahkan . pakai nomer lain"" juga sama aja , apa iya ini aplikasi cuma bisa dipakai nomer luar aja ? tolong dong solusinya .",0
"tiba banget ga bisa login pake nomer sama email lama, banyak data, kontak penting di akun lama, tolong di perbaiki",0
"tolong kembalikan log in dengan no telpon, sedih banget tiba-tiba gabisa log in. uda ga bisa pake fb ga bisa juga pake email, kenapa si?",0
maaf ini line apakah bisa dikembalikan lagi login dengan no hp. saya pasang nya no hp. jadi akun nya hilang,1
"GA NGERTI LAGI, MASA TIAP LOGIN DISURUH VERIVIKASI PINDAH PERANGKAT, SEDANGKAN HP GW DI RESET ULANG KE SETELAN PABRIK JADI GAK BISA LOGIN LAGI, UDAH DUA KALI LHO SAYA BUAT AKUN! ASTAGAAA",0
"chat saya yang lama setelah hapus line dan download lagi tidak bisa di lihat tolong perbaiki segera, kalau tidak aplikasi ini sangat jelek buruk so bad tidak bagus buruk sangat sangat 100000× lebih buruk dari kata buruk.. mohon kembalikan chat' saya segera!",0
"kok udah gk bisa menggunakan nomor ya, sedangkan di situ banyak teman kerja, tolong dong di benahi lagi",0
mohon untuk mengembalikan login via ponsel,0
Semua orang dapat meliat nya,1
stickernya lucu lucu,1
Optimalkan dan tingkatkan stabilitas performa nya.. Trimakasih 🙂🙏🏻,1
gabisa login menggunakan no hp indo,0
gara gara gak bisa login lewat no hp akhirnya line ilang duh gimana sih line,0
bagus,1
Login nya lumayan ribet sih,0
"aplikasi ini sangat buruk di gunakan bagi saya,dk tidak ada yang menarik di dalam nya",0
"Tidak bisa login menggunakan nomor Indonesia dan juga gmail, padahal sudah menautkan gmail",0
"developnya aneh, perangkat lama rusak gak nyala,,,, terus mau login perangkat baru pakai nomor ponsel indonesia tidak bisa... gimana mau loginnya? tolong perbaiki agar bisa login kembali dengan perangkat baru.",0
ga bisa login,0
"gabisa login pake nomor hp lagi, mana cuma di Indonesia aja, negara lain masih bisa. tolong balikin cara login by phone number!!!",0
kesulitan login,0
jelek anjay masa gabisa login pake akun yang uda ada,0
balikinnn pengaturan login pakai no hp foto semua ada di situuuuuuuuuuuu,0
